タイムスタンプ	ファイル名	エラー	メッセージ
2013-10-16 17:17:55.059 +0900	シェアリング計算機.fmp12	0	インポート処理が開始されました
2013-10-16 17:17:55.084 +0900	シェアリング計算機.fmp12	0	クリップボードからの フィールド のインポートを開始しました
2013-10-16 17:17:55.120 +0900	商品データ	0	フィールド インポート済み: 1
2013-10-16 17:17:55.141 +0900	シェアリング計算機.fmp12	0	インポートが完了しました
2013-10-16 17:19:24.556 +0900	シェアリング計算機.fmp12	0	インポート処理が確定されました
2013-10-16 17:19:24.577 +0900	シェアリング計算機.fmp12	0	==================================================================
2013-10-16 17:35:40.893 +0900	シェアリング計算機.fmp12	0	インポート処理が開始されました
2013-10-16 17:35:40.935 +0900	シェアリング計算機.fmp12	0	クリップボードからの フィールド のインポートを開始しました
2013-10-16 17:35:40.961 +0900	メンバデータ	0	フィールド インポート済み: 1
2013-10-16 17:35:40.983 +0900	シェアリング計算機.fmp12	0	インポートが完了しました
2013-10-16 17:36:07.286 +0900	シェアリング計算機.fmp12	0	インポート処理が確定されました
2013-10-16 17:36:07.308 +0900	シェアリング計算機.fmp12	0	==================================================================
2013-10-16 17:37:01.379 +0900	シェアリング計算機.fmp12	0	インポート処理が開始されました
2013-10-16 17:37:01.422 +0900	シェアリング計算機.fmp12	0	クリップボードからの フィールド のインポートを開始しました
2013-10-16 17:37:01.449 +0900	メンバデータ	0	フィールド インポート済み: 1
2013-10-16 17:37:01.471 +0900	シェアリング計算機.fmp12	0	インポートが完了しました
2013-10-16 17:38:23.941 +0900	シェアリング計算機.fmp12	0	インポート処理が確定されました
2013-10-16 17:38:23.972 +0900	シェアリング計算機.fmp12	0	==================================================================
2013-10-16 17:52:34.264 +0900	シェアリング計算機.fmp12	0	インポート処理が開始されました
2013-10-16 17:52:34.311 +0900	シェアリング計算機.fmp12	0	クリップボードからの フィールド のインポートを開始しました
2013-10-16 17:52:34.337 +0900	メンバデータ	0	フィールド インポート済み: 1
2013-10-16 17:52:34.360 +0900	シェアリング計算機.fmp12	0	インポートが完了しました
2013-10-16 17:53:33.860 +0900	シェアリング計算機.fmp12	0	クリップボードからの フィールド のインポートを開始しました
2013-10-16 17:53:33.903 +0900	商品データ	0	フィールド「数量」は、「数量 2」としてインポートされました。「数量」という名前のフィールドはすでに存在します。
2013-10-16 17:53:33.931 +0900	商品データ	0	フィールド インポート済み: 3
2013-10-16 17:53:33.951 +0900	シェアリング計算機.fmp12	0	インポートが完了しました
2013-10-16 17:58:46.170 +0900	シェアリング計算機.fmp12	0	インポート処理が確定されました
2013-10-16 17:58:46.207 +0900	シェアリング計算機.fmp12	0	==================================================================
2013-10-16 17:59:34.875 +0900	シェアリング計算機.fmp12	0	インポート処理が開始されました
2013-10-16 17:59:34.910 +0900	シェアリング計算機.fmp12	0	クリップボードからの フィールド のインポートを開始しました
2013-10-16 17:59:34.945 +0900	購入商品	0	フィールド インポート済み: 1
2013-10-16 17:59:34.967 +0900	シェアリング計算機.fmp12	0	インポートが完了しました
2013-10-16 18:00:37.576 +0900	シェアリング計算機.fmp12	0	クリップボードからの フィールド のインポートを開始しました
2013-10-16 18:00:37.608 +0900	購入商品	0	フィールド インポート済み: 1
2013-10-16 18:00:37.647 +0900	シェアリング計算機.fmp12	0	インポートが完了しました
2013-10-16 18:01:27.802 +0900	シェアリング計算機.fmp12	0	クリップボードからの フィールド のインポートを開始しました
2013-10-16 18:01:27.832 +0900	購入商品	0	フィールド インポート済み: 1
2013-10-16 18:01:27.854 +0900	シェアリング計算機.fmp12	0	インポートが完了しました
2013-10-16 18:02:11.539 +0900	シェアリング計算機.fmp12	0	インポート処理が確定されました
2013-10-16 18:02:11.568 +0900	シェアリング計算機.fmp12	0	==================================================================
2013-10-16 18:15:34.601 +0900	シェアリング計算機.fmp12	0	ファイル「(株)青果問屋まるだい.fmp12」からの スクリプト のインポートを開始しました
2013-10-16 18:15:34.668 +0900	トリガ | 最初のウィンドウが開いたとき	0	スクリプトステップ インポート済み: 4
2013-10-16 18:15:34.697 +0900	シェアリング計算機.fmp12	0	スクリプト インポート済み: 1
2013-10-16 18:15:34.720 +0900	シェアリング計算機.fmp12	0	インポートが完了しました
2013-10-16 18:37:13.352 +0900	シェアリング計算機.fmp12	0	インポート処理が開始されました
